HolidayDate,Event,DayOfWeek
2022-01-01,New Year's Day,Saturday
2022-01-17,Martin Luther King Day,Monday
2022-01-24,Belly Laugh Day,Monday
2022-02-02,Groundhog Day,Wednesday
2022-02-12,Lincoln's Birthday,Saturday
2022-02-14,Valentine's Day,Monday
2022-02-21,Presidents Day and Washington's Birthday,Monday
2022-03-01,Mardi Gras Carnival,Tuesday
2022-03-13,Daylight Saving,Sunday
2022-03-17,St. Patrick's Day,Thursday
2022-04-01,April Fool's Day,Friday
2022-04-15,Good Friday,Friday
2022-04-17,Easter,Sunday
2022-04-18,Easter Monday,Monday
2022-04-22,Earth Day,Friday
2022-05-05,Cinco de Mayo,Thursday
2022-05-08,Mother's Day,Sunday
2022-05-21,Armed Forces Day,Saturday
2022-05-30,Memorial Day,Monday
2022-06-05,Pentecost,Sunday
2022-06-06,Pentecost Monday,Monday
2022-06-14,Flag Day,Tuesday
2022-06-19,Father's Day,Sunday
2022-07-04,Independence Day,Monday
2022-07-24,Parents' Day,Sunday
2022-09-05,Labor Day,Monday
2022-09-11,Grandparents' Day,Sunday
2022-09-11,Patriot Day or September 11th,Sunday
2022-09-16,Stepfamily Day,Friday
2022-09-17,Citizenship Day,Saturday
2022-09-23,Native American Day,Friday
2022-10-10,Columbus Day,Monday
2022-10-15,Sweetest Day,Saturday
2022-10-17,Boss's Day,Monday
2022-10-31,Halloween,Monday
2022-11-06,Daylight Saving,Sunday
2022-11-11,Veterans' Day,Friday
2022-11-24,Thanksgiving,Thursday
2022-11-25,Black Friday,Friday
2022-11-28,Cyber Monday,Monday
2022-12-07,Pearl Harbor Remembrance Day,Wednesday
2022-12-25,Christmas Day,Sunday
2022-12-31,New Year's Eve,Saturday
