CalendarDate,DayOfWeek,Event
22-01-01,SAT,New Year's Day
22-01-17,MON,Martin Luther King Day
22-01-17,MON,Civil Rights Day
22-01-17,MON,Idaho Human Rights Day
22-01-19,WED,Confederate Heroes' Day
22-01-27,THU,International Holocaust Remembrance Day
22-02-01,TUE,Black History Month
22-02-01,TUE,Chinese New Year
22-02-14,MON,Valentine's Day
22-02-14,MON,Arizona Statehood Day
22-02-21,MON,Presidents' Day
22-03-01,TUE,Vermont Town Meeting Day
22-03-17,THU,Saint Patrick´s Day
22-03-17,THU,Evacuation Day
22-03-19,SAT,Holi
22-03-25,FRI,Maryland Day
22-03-31,THU,César Chávez Day
22-04-01,FRI,First Day of Ramadan
22-04-15,FRI,Passover
22-04-15,FRI,Good Friday
22-04-16,SAT,Emancipation Day
22-04-17,SUN,Easter Sunday
22-04-18,MON,Patriots' Day
22-04-21,THU,San Jacinto Day
22-05-04,WED,Rhode Island Independence Day
22-05-08,SUN,Mother's Day
22-05-30,MON,Memorial Day
22-06-06,MON,Jefferson Davis' Birthday
22-06-11,SAT,Kamehameha Day
22-06-19,SUN,Father's Day
22-06-19,SUN,Juneteenth
22-06-20,MON,West Virginia Day
22-06-20,MON,Juneteenth (day off)
22-07-04,MON,Independence Day
22-08-16,TUE,Bennington Battle Day
22-08-19,FRI,Hawaii Statehood Day
22-09-02,FRI,V-J Day
22-09-05,MON,Labor Day
22-09-11,SUN,Grandparents Day
22-09-17,SAT,Constitution Day
22-10-10,MON,Columbus Day (Most regions)
22-10-18,TUE,Alaska Day
22-10-28,FRI,Nevada Day
22-10-31,MON,Halloween
22-11-11,FRI,Veterans Day
22-11-24,THU,Thanksgiving Day
22-11-25,FRI,Black Friday
22-12-07,WED,Pearl Harbor Remembrance Day
22-12-24,SAT,Christmas Eve
22-12-25,SUN,Christmas Day
22-12-26,MON,Kwanzaa
22-12-31,SAT,New Year's Eve
